round,mean,p10,p50,p90
1.000000000000000000e+00,4.942445548625712740e-03,4.391764240886189725e-03,4.987069711531507549e-03,5.284162177509345130e-03
2.000000000000000000e+00,4.962382923063595602e-03,4.401399216827204912e-03,4.992778803153630207e-03,5.368483909427119831e-03
3.000000000000000000e+00,4.952989060010553474e-03,4.414951805201818708e-03,4.972104829585367175e-03,5.369906451654722981e-03
4.000000000000000000e+00,4.955196898512289130e-03,4.416231932572400876e-03,4.978351167840185110e-03,5.345380784315597114e-03
5.000000000000000000e+00,4.962999232961692528e-03,4.461340040250038816e-03,4.980391335148537206e-03,5.322870464815930916e-03
6.000000000000000000e+00,4.969210245353240275e-03,4.509872553001790900e-03,4.980289559050799300e-03,5.319090117650154652e-03
7.000000000000000000e+00,4.974740578234136852e-03,4.509872553001790900e-03,4.982639538866179621e-03,5.319090117650154652e-03
8.000000000000000000e+00,4.915429033300219158e-03,4.344595586079417343e-03,4.927919229937945643e-03,5.320600469971434147e-03
9.000000000000000000e+00,4.930356908407844060e-03,4.480205158750446073e-03,4.916678602771635404e-03,5.336371467573096904e-03
1.000000000000000000e+01,4.929070613406941366e-03,4.484984722167579228e-03,4.916678602771635404e-03,5.337916704966337751e-03
1.100000000000000000e+01,4.914218553368655297e-03,4.484984722167579228e-03,4.891059411522831121e-03,5.337916704966337751e-03
1.200000000000000000e+01,4.911749018658724715e-03,4.490437723385188457e-03,4.894860767645279817e-03,5.317679959873656756e-03
1.300000000000000000e+01,4.910224528831856269e-03,4.495630074670276498e-03,4.904494030594870949e-03,5.316306483280291463e-03
1.400000000000000000e+01,4.912510176897217501e-03,4.496614752004012353e-03,4.914960137358379347e-03,5.317903093418878228e-03
1.500000000000000000e+01,4.915243570608073508e-03,4.502426659997782465e-03,4.914960137358379347e-03,5.318445062259536706e-03
1.600000000000000000e+01,4.925576431697338553e-03,4.503469154179338095e-03,4.926323762113675800e-03,5.402987789976989794e-03
1.700000000000000000e+01,4.928889699283211731e-03,4.509900010948210067e-03,4.937693494444660505e-03,5.367181750876008454e-03
1.800000000000000000e+01,4.931956583841407872e-03,4.518051498039271641e-03,4.937693494444660505e-03,5.341755453786740937e-03
1.900000000000000000e+01,4.931750845102896887e-03,4.518702944674909787e-03,4.944441342337516782e-03,5.326969041446197144e-03
2.000000000000000000e+01,4.928430499777120000e-03,4.526873655336448136e-03,4.942952791681355477e-03,5.311343257699861937e-03
2.100000000000000000e+01,4.911317685576689282e-03,4.386872896231713836e-03,4.943936123356055742e-03,5.312768306729061252e-03
2.200000000000000000e+01,4.906685197617963699e-03,4.404985976690400581e-03,4.937512465496814509e-03,5.302050793611599172e-03
2.300000000000000000e+01,4.896707189357598321e-03,4.422434841833393186e-03,4.907959325926953761e-03,5.437991564689164010e-03
2.400000000000000000e+01,4.890618480381365117e-03,4.441351858307131598e-03,4.889751157666382894e-03,5.446525976369816398e-03
2.500000000000000000e+01,4.858378579960331498e-03,4.177667208803834825e-03,4.894490232401901147e-03,5.431775114951245369e-03
2.600000000000000000e+01,4.847217266760942347e-03,4.182676243714883967e-03,4.890937958964022489e-03,5.415755218213684496e-03
2.700000000000000000e+01,4.877783437627888907e-03,4.468763585914238730e-03,4.880172633248944063e-03,5.415755218213684496e-03
2.800000000000000000e+01,4.895800630536734435e-03,4.513929834944948975e-03,4.876219080141048524e-03,5.400325454345528305e-03
2.900000000000000000e+01,4.887424811428364192e-03,4.513929834944948975e-03,4.866401945029875768e-03,5.385409931829872668e-03
3.000000000000000000e+01,4.886595759489931537e-03,4.511333588053754312e-03,4.853169590606794433e-03,5.367260381318936062e-03
3.100000000000000000e+01,4.888251204261645499e-03,4.509402135371831828e-03,4.853169590606794433e-03,5.374705114837900928e-03
3.200000000000000000e+01,4.899069594484798014e-03,4.509374000554617137e-03,4.879643799243863281e-03,5.374705114837900928e-03
3.300000000000000000e+01,4.892447636260817759e-03,4.508781993103864669e-03,4.828230902485698348e-03,5.383054643812323729e-03
3.400000000000000000e+01,4.903794692929532711e-03,4.513861832710867363e-03,4.828230902485698348e-03,5.392863512207873682e-03
3.500000000000000000e+01,4.901862032797695869e-03,4.513861832710867363e-03,4.816544882309713865e-03,5.392863512207873682e-03
3.600000000000000000e+01,4.895828722733675496e-03,4.524639482238448397e-03,4.813868348087392904e-03,5.401773604873181395e-03
3.700000000000000000e+01,4.881970342959766722e-03,4.626718547487508604e-03,4.800448802556991912e-03,5.271074550215248955e-03
3.800000000000000000e+01,4.884539265988765110e-03,4.631312077787971652e-03,4.784608085742747194e-03,5.260304357329009632e-03
3.900000000000000000e+01,4.894378666668036323e-03,4.650540576171170552e-03,4.827587723490619348e-03,5.260304357329009632e-03
4.000000000000000000e+01,4.885827496357968321e-03,4.638630988466182527e-03,4.817819714963117450e-03,5.263325702908454654e-03
4.100000000000000000e+01,4.885607332118857733e-03,4.622554184180695941e-03,4.817819714963117450e-03,5.266718713148340822e-03
