time_s,round,mean,p10,p50,p90
1.471294522285461426e+01,1.000000000000000000e+00,8.057393421795595589e-01,7.783212560386474355e-01,8.080012077294684847e-01,8.280434782608696587e-01
1.524088215827941895e+01,2.000000000000000000e+00,8.084314339042599773e-01,7.801537110232762418e-01,8.064311594202898670e-01,8.359420289855072905e-01
1.564246630668640137e+01,3.000000000000000000e+00,8.033264633916807895e-01,7.636135265700484398e-01,8.056521739130435567e-01,8.328260869565218272e-01
1.608418583869934082e+01,4.000000000000000000e+00,8.137725233703495542e-01,7.777391304347825995e-01,8.108695652173913970e-01,8.397101449275362617e-01
1.659337973594665527e+01,5.000000000000000000e+00,8.058415051132442608e-01,7.720869565217390873e-01,8.071739130434781861e-01,8.384057971014493571e-01
1.710946440696716309e+01,6.000000000000000000e+00,8.109412604303909422e-01,7.733913043478261029e-01,8.147342995169082336e-01,8.443478260869564656e-01
1.763546919822692871e+01,7.000000000000000000e+00,8.087247945291423656e-01,7.776811594202899247e-01,8.071739130434782972e-01,8.437681159420290511e-01
1.811796832084655762e+01,8.000000000000000000e+00,8.122140504423110974e-01,7.737922705314008720e-01,8.108695652173911750e-01,8.518115942028986476e-01
1.859437108039855957e+01,9.000000000000000000e+00,8.062650260367650867e-01,7.745652173913042393e-01,8.094014680971202136e-01,8.313913043478261544e-01
1.906761717796325684e+01,1.000000000000000000e+01,8.081303877282138837e-01,7.740942028985507983e-01,8.104589371980677193e-01,8.388405797101449179e-01
1.955737495422363281e+01,1.100000000000000000e+01,8.131797791580398505e-01,7.789347826086957527e-01,8.116847826086956985e-01,8.481987577639752418e-01
2.001479411125183105e+01,1.200000000000000000e+01,8.090452898550726246e-01,7.622222222222222454e-01,8.149456521739131265e-01,8.375072463768116204e-01
2.048303699493408203e+01,1.300000000000000000e+01,8.125402942468161749e-01,7.729347826086957474e-01,8.139328063241106914e-01,8.423498964803313172e-01
2.094555592536926270e+01,1.400000000000000000e+01,8.094713360311185379e-01,7.770652173913044081e-01,8.119565217391304657e-01,8.370652173913043503e-01
2.141623091697692871e+01,1.500000000000000000e+01,8.067444005270092422e-01,7.665217391304347538e-01,8.060869565217391175e-01,8.404503105590062084e-01
2.188663792610168457e+01,1.600000000000000000e+01,8.119073577388794538e-01,7.754106280193235889e-01,8.157246376811593258e-01,8.432065217391304657e-01
2.235989284515380859e+01,1.700000000000000000e+01,8.109499184390488447e-01,7.729891304347826786e-01,8.141106719367587896e-01,8.438405797101450334e-01
2.283934950828552246e+01,1.800000000000000000e+01,8.127481021394065142e-01,7.859420289855072461e-01,8.123320158102766975e-01,8.407763975155280178e-01
2.330329918861389160e+01,1.900000000000000000e+01,8.105349222034006207e-01,7.738949275362317914e-01,8.117391304347827408e-01,8.456521739130434812e-01
2.376144623756408691e+01,2.000000000000000000e+01,8.100170493757451462e-01,7.702536231884058449e-01,8.133695652173912327e-01,8.417080745341615211e-01
2.422822833061218262e+01,2.100000000000000000e+01,8.150881250392119082e-01,7.875543478260869090e-01,8.196618357487922557e-01,8.411180124223602839e-01
2.469117236137390137e+01,2.200000000000000000e+01,8.121846414455109464e-01,7.807246376811594057e-01,8.160079051383399840e-01,8.460248447204968825e-01
2.516817259788513184e+01,2.300000000000000000e+01,8.152934861032685721e-01,7.803623188405797162e-01,8.215458937198066858e-01,8.443478260869565766e-01
2.568227791786193848e+01,2.400000000000000000e+01,8.146541972520232600e-01,7.758695652173911439e-01,8.158212560386473022e-01,8.417391304347825454e-01
2.618405795097351074e+01,2.500000000000000000e+01,8.092154228621619705e-01,7.783152173913043814e-01,8.112836438923394233e-01,8.413043478260869845e-01
2.666607093811035156e+01,2.600000000000000000e+01,8.156018727649163580e-01,7.723913043478259910e-01,8.202992659514398710e-01,8.421894409937886739e-01
2.716914343833923340e+01,2.700000000000000000e+01,8.142432869063304102e-01,7.856159420289855477e-01,8.194773825208607754e-01,8.382391304347825978e-01
2.765208935737609863e+01,2.800000000000000000e+01,8.107628301650040559e-01,7.718478260869565677e-01,8.170893719806763267e-01,8.367204968944099708e-01
2.815709114074707031e+01,2.900000000000000000e+01,8.166664627642890029e-01,7.830745341614906430e-01,8.168046928916494753e-01,8.402018633540372372e-01
2.862549853324890137e+01,3.000000000000000000e+01,8.196492879101574536e-01,7.892546583850931219e-01,8.222826086956522840e-01,8.369806763285023710e-01
2.910440874099731445e+01,3.100000000000000000e+01,8.190484660267267625e-01,7.769904009034444003e-01,8.185990338164250701e-01,8.437888198757763636e-01
2.958740115165710449e+01,3.200000000000000000e+01,8.200166258861912860e-01,7.963416149068324179e-01,8.241304347826086119e-01,8.414596273291924389e-01
3.006169724464416504e+01,3.300000000000000000e+01,8.153620051446139883e-01,7.895652173913042526e-01,8.195087521174476697e-01,8.423602484472050289e-01
3.053939032554626465e+01,3.400000000000000000e+01,8.188663027793461335e-01,7.928853754940711207e-01,8.231366459627329490e-01,8.391987577639751228e-01
3.100605702400207520e+01,3.500000000000000000e+01,8.183703494573061343e-01,7.939130434782608603e-01,8.197981366459627939e-01,8.342857142857142971e-01
3.150235199928283691e+01,3.600000000000000000e+01,8.152346132128739375e-01,7.773913043478259954e-01,8.181535855448900385e-01,8.420186335403727629e-01
3.197291207313537598e+01,3.700000000000000000e+01,8.142677238220713543e-01,7.925621118012423638e-01,8.202415458937197812e-01,8.318633540372670776e-01
3.244280958175659180e+01,3.800000000000000000e+01,8.115657193048496643e-01,7.825127046866178215e-01,8.085265700483091900e-01,8.371428571428571885e-01
3.292074847221374512e+01,3.900000000000000000e+01,8.152310213940647809e-01,7.911067193675889175e-01,8.189009661835748854e-01,8.344968944099379060e-01
3.343161749839782715e+01,4.000000000000000000e+01,8.153888575192922428e-01,7.718577075098813634e-01,8.134387351778655795e-01,8.496894409937887360e-01
3.390927815437316895e+01,4.100000000000000000e+01,8.137741467469729040e-01,7.816939582156975375e-01,8.173007246376812196e-01,8.299844720496896144e-01
3.438651061058044434e+01,4.200000000000000000e+01,8.164322103017754850e-01,7.857933370976849519e-01,8.154589371980676127e-01,8.334782608695652240e-01
3.487076115608215332e+01,4.300000000000000000e+01,8.194481225296443849e-01,7.857312252964426813e-01,8.192934782608696231e-01,8.337173913043477436e-01
3.534491586685180664e+01,4.400000000000000000e+01,8.174191683919944662e-01,7.833229813664595031e-01,8.122282608695652328e-01,8.451521739130434252e-01
3.581827020645141602e+01,4.500000000000000000e+01,8.221467156032374879e-01,8.017391304347826209e-01,8.269565217391303680e-01,8.408478260869565180e-01
3.630858993530273438e+01,4.600000000000000000e+01,8.197826479076478767e-01,7.940880858272163501e-01,8.203804347826086918e-01,8.389275362318840967e-01
3.681119179725646973e+01,4.700000000000000000e+01,8.174206192358365319e-01,8.013241106719367624e-01,8.182125603864733865e-01,8.325465838509317207e-01
3.730001854896545410e+01,4.800000000000000000e+01,8.145937794089969097e-01,7.893224167137210534e-01,8.124094202898550776e-01,8.377282608695652000e-01
3.780085635185241699e+01,4.900000000000000000e+01,8.110231272350836296e-01,7.726482213438735647e-01,8.154347826086956186e-01,8.405341614906831627e-01
3.830276083946228027e+01,5.000000000000000000e+01,8.202241592948114057e-01,7.983681535855449152e-01,8.247282608695651884e-01,8.454782608695651236e-01
3.877328896522521973e+01,5.100000000000000000e+01,8.174843073593074383e-01,7.887747035573122734e-01,8.186714975845410525e-01,8.377391304347826528e-01
3.926958179473876953e+01,5.200000000000000000e+01,8.185381062174540423e-01,8.021146245059288526e-01,8.163043478260869623e-01,8.438586956521739735e-01
3.975951290130615234e+01,5.300000000000000000e+01,8.137755426940209702e-01,7.870920383963861955e-01,8.169082125603864819e-01,8.364673913043477738e-01
4.023049378395080566e+01,5.400000000000000000e+01,8.104856876215572603e-01,7.896618357487923401e-01,8.097826086956521063e-01,8.363354037267080043e-01
4.070845818519592285e+01,5.500000000000000000e+01,8.186245059288538295e-01,7.868774703557313011e-01,8.208152173913043637e-01,8.526086956521738980e-01
4.119431996345520020e+01,5.600000000000000000e+01,8.172632301273605737e-01,7.971936758893279906e-01,8.136991028295376127e-01,8.545652173913044214e-01
4.168926835060119629e+01,5.700000000000000000e+01,8.149240385218646798e-01,7.905533596837944765e-01,8.107487922705314265e-01,8.389855072463768826e-01
4.217829203605651855e+01,5.800000000000000000e+01,8.175572651985696382e-01,7.906004140786749845e-01,8.197722567287784035e-01,8.536231884057970953e-01
4.266587996482849121e+01,5.900000000000000000e+01,8.195385610766046103e-01,7.943986448334274808e-01,8.152173913043477826e-01,8.568115942028986520e-01
4.315091109275817871e+01,6.000000000000000000e+01,8.216769794215446066e-01,7.939469226425747150e-01,8.160326086956521952e-01,8.718115942028985543e-01
4.365057873725891113e+01,6.100000000000000000e+01,8.182787031808770317e-01,7.828063241106719694e-01,8.139657444005269360e-01,8.699999999999999956e-01
4.416715908050537109e+01,6.200000000000000000e+01,8.148817052512706827e-01,7.939017504234894274e-01,8.160079051383399840e-01,8.354347826086957474e-01
4.466760182380676270e+01,6.300000000000000000e+01,8.161893179284482880e-01,7.923715415019763064e-01,8.096837944664031506e-01,8.411594202898551309e-01
4.515265703201293945e+01,6.400000000000000000e+01,8.160762178642613218e-01,7.932505175983437518e-01,8.112620772946860237e-01,8.417391304347825454e-01
4.562699103355407715e+01,6.500000000000000000e+01,8.130970786459916777e-01,7.848033126293996187e-01,8.179841897233202097e-01,8.381521739130435300e-01
4.610075497627258301e+01,6.600000000000000000e+01,8.118660548388809683e-01,7.856712852365025368e-01,8.096273291925466520e-01,8.386956521739130643e-01
4.660265040397644043e+01,6.700000000000000000e+01,8.152176736307170657e-01,7.981055900621116805e-01,8.123706004140787140e-01,8.363913043478261589e-01
4.709154629707336426e+01,6.800000000000000000e+01,8.117478668674319442e-01,7.897981366459627672e-01,8.173913043478260310e-01,8.317173913043478528e-01
4.759947228431701660e+01,6.900000000000000000e+01,8.142291156910721472e-01,7.954150197628457875e-01,8.171497584541063119e-01,8.321195652173912771e-01
4.815817260742187500e+01,7.000000000000000000e+01,8.180158416462764981e-01,7.917654808959156965e-01,8.227657004830918330e-01,8.396739130434782705e-01
4.865297007560729980e+01,7.100000000000000000e+01,8.105428979233326725e-01,7.937055335968380421e-01,8.093167701863355212e-01,8.277173913043478493e-01
4.916741394996643066e+01,7.200000000000000000e+01,8.117850947361817671e-01,7.858893280632410772e-01,8.142512077294685735e-01,8.305652173913042891e-01
4.969667601585388184e+01,7.300000000000000000e+01,8.147536545580023049e-01,7.958146684233640133e-01,8.177639751552795433e-01,8.415217391304348205e-01
5.020199275016784668e+01,7.400000000000000000e+01,8.122547524938829033e-01,7.868774703557311900e-01,8.125823451910408890e-01,8.359782608695651707e-01
5.069188714027404785e+01,7.500000000000000000e+01,8.128624051069701650e-01,7.910869565217391042e-01,8.154589371980676127e-01,8.358757763975154242e-01
5.118500971794128418e+01,7.600000000000000000e+01,8.078652989522556727e-01,7.918125352907960934e-01,8.056982872200262324e-01,8.327639751552795566e-01
5.169121909141540527e+01,7.700000000000000000e+01,8.081163655185396033e-01,7.923731884057970687e-01,8.102173913043478892e-01,8.257481648785995887e-01
5.216766166687011719e+01,7.800000000000000000e+01,8.109690538929669179e-01,7.795962732919254901e-01,8.085144927536231929e-01,8.421739130434783283e-01
5.264834761619567871e+01,7.900000000000000000e+01,8.126442217203087015e-01,7.863975155279503415e-01,8.078416149068323726e-01,8.392173913043478040e-01
5.312507653236389160e+01,8.000000000000000000e+01,8.100516735679779146e-01,7.923136645962732816e-01,8.080917874396135181e-01,8.326811594202898625e-01
5.361539959907531738e+01,8.100000000000000000e+01,8.048565233076102610e-01,7.802251552795029799e-01,8.035024154589371914e-01,8.306086956521739895e-01
5.409795117378234863e+01,8.200000000000000000e+01,8.038445401217142461e-01,7.852717391304349093e-01,8.059523809523809756e-01,8.198695652173912940e-01
5.457999873161315918e+01,8.300000000000000000e+01,8.060068228872576679e-01,7.894130434782609118e-01,8.022515527950311309e-01,8.253162055335968583e-01
